Pregunta,Respuesta,Categoría,Fuente
¿Qué tipo de documento es el Estatuto de la UPAO?,"Es la norma institucional de más alto nivel que regula la estructura, organización y funcionamiento general de la universidad.",Generalidades,Estatuto UPAO 2023 (Art. 1)
¿Cuál es la función del Estatuto dentro de la UPAO?,Es la norma institucional principal que establece cómo se organiza y funciona la universidad.,Generalidades,Estatuto UPAO 2023 (Art. 1)
¿Para qué sirve el Estatuto en la Universidad Privada Antenor Orrego?,"Define la estructura, principios y lineamientos que rigen la vida institucional universitaria.",Generalidades,Estatuto UPAO 2023 (Art. 1)
¿En qué consiste el Estatuto universitario de la UPAO?,Es el documento rector que regula la organización interna y el funcionamiento general de la universidad.,Generalidades,Estatuto UPAO 2023 (Art. 1)
¿Qué papel cumple el Estatuto en la normativa de la UPAO?,Sirve como base normativa que estructura y guía el desarrollo de todas las actividades universitarias.,Generalidades,Estatuto UPAO 2023 (Art. 1)
¿Por qué es importante el Estatuto en la UPAO?,"Porque regula los aspectos fundamentales del gobierno, la gestión y la vida académica institucional.",Generalidades,Estatuto UPAO 2023 (Art. 1)
¿Cuáles son los fines de la UPAO según el Estatuto?,"Formar profesionales competentes, fomentar la investigación científica, preservar la cultura y promover el desarrollo del país.",Fines institucionales,Estatuto UPAO 2023 (Art. 5)
¿Qué objetivos fundamentales persigue la UPAO?,"Formar profesionales con excelencia, impulsar la ciencia y contribuir al bienestar nacional.",Fines institucionales,Estatuto UPAO 2023 (Art. 5)
¿Qué metas tiene la UPAO de acuerdo a su Estatuto?,"Educar con calidad, fomentar la investigación y fortalecer la identidad cultural y social del país.",Fines institucionales,Estatuto UPAO 2023 (Art. 5)
¿Cuáles son los propósitos principales de la universidad UPAO?,"Su misión es formar líderes, generar conocimiento y contribuir al desarrollo sostenible del Perú.",Fines institucionales,Estatuto UPAO 2023 (Art. 5)
¿Qué finalidades establece el Estatuto para la UPAO?,"Brindar educación superior de calidad, promover investigación y aportar a la cultura nacional.",Fines institucionales,Estatuto UPAO 2023 (Art. 5)
¿Qué se propone alcanzar la UPAO según su Estatuto?,"El crecimiento profesional de sus estudiantes, el avance científico y el progreso nacional.",Fines institucionales,Estatuto UPAO 2023 (Art. 5)
¿Qué valores promueve la universidad?,"Responsabilidad, compromiso, respeto, innovación, ética y solidaridad.",Valores,Estatuto UPAO 2023 (Art. 7)
¿Cuáles son los valores institucionales de la UPAO?,"Ética, respeto, innovación, responsabilidad, solidaridad y compromiso son pilares fundamentales.",Valores,Estatuto UPAO 2023 (Art. 7)
¿Qué principios guía la UPAO en su accionar educativo?,"Promueve el respeto, la ética profesional, la innovación y el compromiso social.",Valores,Estatuto UPAO 2023 (Art. 7)
